iqr,learning_rate,subsample,n_estimators,max_depth,accuracy_mean,accuracy_1_mean,accuracy_0_mean,accuracy_median,accuracy_1_median,accuracy_0_median,recall_1_mean,recall_0_mean
1.0,0.05,0.1,16,1,0.3916666666666667,0.3571428571428571,0.3485714285714286,0.5,0.42857142857142855,0.14285714285714285,0.5599999999999999,0.2866666666666667
1.0,0.05,0.1,16,2,0.3916666666666667,0.3571428571428571,0.3485714285714286,0.5,0.42857142857142855,0.14285714285714285,0.5599999999999999,0.2866666666666667
1.0,0.05,0.1,16,3,0.3916666666666667,0.3571428571428571,0.3485714285714286,0.5,0.42857142857142855,0.14285714285714285,0.5599999999999999,0.2866666666666667
1.0,0.05,0.1,16,4,0.3916666666666667,0.3571428571428571,0.3485714285714286,0.5,0.42857142857142855,0.14285714285714285,0.5599999999999999,0.2866666666666667
1.0,0.05,0.1,32,1,0.41666666666666663,0.43,0.4133333333333333,0.4444444444444444,0.42857142857142855,0.4,0.5433333333333332,0.32666666666666666
1.0,0.05,0.1,32,2,0.325,0.35,0.27999999999999997,0.3333333333333333,0.3333333333333333,0.0,0.4933333333333333,0.14666666666666667
1.0,0.05,0.1,32,3,0.325,0.35,0.27999999999999997,0.3333333333333333,0.3333333333333333,0.0,0.4933333333333333,0.14666666666666667
1.0,0.05,0.1,32,4,0.325,0.35,0.27999999999999997,0.3333333333333333,0.3333333333333333,0.0,0.4933333333333333,0.14666666666666667
1.0,0.05,0.1,64,1,0.41666666666666663,0.4223809523809524,0.48,0.4444444444444444,0.42857142857142855,0.4,0.4533333333333333,0.4333333333333334
1.0,0.05,0.1,64,2,0.2777777777777778,0.3083333333333333,0.3,0.375,0.3333333333333333,0.0,0.4033333333333333,0.15333333333333332
1.0,0.05,0.1,64,3,0.2777777777777778,0.3083333333333333,0.3,0.375,0.3333333333333333,0.0,0.4033333333333333,0.15333333333333332
1.0,0.05,0.1,64,4,0.2777777777777778,0.3083333333333333,0.3,0.375,0.3333333333333333,0.0,0.4033333333333333,0.15333333333333332
1.0,0.05,0.1,100,1,0.4638888888888889,0.39904761904761904,0.4,0.4444444444444444,0.42857142857142855,0.5,0.5533333333333333,0.3066666666666667
1.0,0.05,0.1,100,2,0.3305555555555556,0.35238095238095235,0.24,0.375,0.42857142857142855,0.0,0.5033333333333333,0.10666666666666666
1.0,0.05,0.1,100,3,0.3305555555555556,0.35238095238095235,0.24,0.375,0.42857142857142855,0.0,0.5033333333333333,0.10666666666666666
1.0,0.05,0.1,100,4,0.3305555555555556,0.35238095238095235,0.24,0.375,0.42857142857142855,0.0,0.5033333333333333,0.10666666666666666
