iqr,learning_rate,subsample,n_estimators,max_depth,accuracy_mean,accuracy_1_mean,accuracy_0_mean,accuracy_median,accuracy_1_median,accuracy_0_median,recall_1_mean,recall_0_mean
1.0,0.05,0.1,100,3,0.5142857142857143,0.5255743882639737,0.4977009436563495,0.5066666666666667,0.5428571428571428,0.5142857142857142,0.5358407956484029,0.4859898643645975
1.0,0.05,0.1,100,4,0.5371428571428571,0.5467194685389222,0.5123250503649175,0.5466666666666666,0.53125,0.5428571428571428,0.5324541060443316,0.5253538735189853
1.0,0.05,0.1,200,1,0.5561904761904761,0.5581249058512511,0.5483574228526443,0.5333333333333333,0.5116279069767442,0.5909090909090909,0.595244724684132,0.506558965073071
1.0,0.05,0.1,200,2,0.5390476190476191,0.5460587013127326,0.5164278903154614,0.52,0.5348837209302325,0.53125,0.5652036173321002,0.494270516120578
1.0,0.05,0.1,200,3,0.5371428571428571,0.5467026021248268,0.519293684020918,0.5333333333333333,0.5454545454545454,0.5526315789473685,0.5415848636105159,0.5232129699506343
1.0,0.05,0.1,200,4,0.5352380952380952,0.5484763318599184,0.512919155586329,0.5333333333333333,0.5454545454545454,0.5405405405405406,0.5184816988996556,0.540860542136253
1.0,0.05,0.30000000000000004,1,1,0.4723809523809524,0.5665710422099874,0.18057493267577301,0.4533333333333333,0.5066666666666667,0.0,0.8145717377860235,0.19043778801843317
1.0,0.05,0.30000000000000004,1,2,0.4723809523809523,0.567580729924028,0.25620518477661336,0.4533333333333333,0.5066666666666667,0.36486486486486486,0.78227508706832,0.22593411383733963
1.0,0.05,0.30000000000000004,1,3,0.4838095238095238,0.5198078751019928,0.4062736205593348,0.4533333333333333,0.5135135135135135,0.42857142857142855,0.7731898740357386,0.25396214186536764
1.0,0.05,0.30000000000000004,1,4,0.5047619047619047,0.5282175873036182,0.4451873176223381,0.49333333333333335,0.5079365079365079,0.4444444444444444,0.7927452081310993,0.24699960160227663
1.0,0.05,0.30000000000000004,2,1,0.4723809523809524,0.5675973650119898,0.22355212355212356,0.4533333333333333,0.5066666666666667,0.0,0.8124820981023989,0.19591480881803464
1.0,0.05,0.30000000000000004,2,2,0.49142857142857144,0.5283842446820314,0.6009222661396575,0.4666666666666667,0.5211267605633803,0.5333333333333333,0.7803900986231813,0.2467760981810662
1.0,0.05,0.30000000000000004,2,3,0.5028571428571429,0.5263603228212341,0.5417948079238402,0.5066666666666667,0.5072463768115942,0.5,0.7869067962113075,0.23970172986133423
1.0,0.05,0.30000000000000004,2,4,0.5028571428571428,0.5250150653146635,0.530081303247638,0.49333333333333335,0.5,0.5,0.7029326084500785,0.3281739285167407
1.0,0.05,0.30000000000000004,4,1,0.47047619047619044,0.5034871084865764,0.295856524427953,0.4533333333333333,0.49230769230769234,0.4,0.819469510292155,0.15577336074975728
1.0,0.05,0.30000000000000004,4,2,0.48,0.511595466235904,0.5396379500416767,0.48,0.47692307692307695,0.5,0.7405514598183771,0.2505615162521985
1.0,0.05,0.30000000000000004,4,3,0.4990476190476191,0.5164404398122886,0.5448283027776115,0.5066666666666667,0.4852941176470588,0.5454545454545454,0.7134711540118438,0.30567881341737696
